SEED LOG
Generated : 2026-05-13T06:13:22.824Z
Password  : Abc.1234 (all users)

-- User Administrators (10) -------------------------
  ACTIVE    | liamwalker_ua0                      | liam.walker_ua0@proton.me
  ACTIVE    | melissaward_ua1                     | melissa.ward_ua1@proton.me
  ACTIVE    | joshuagarcia_ua2                    | joshua.garcia_ua2@proton.me
  ACTIVE    | jessicahill_ua3                     | jessica.hill_ua3@outlook.com
  ACTIVE    | lindascott_ua4                      | linda.scott_ua4@yahoo.com
  SUSPENDED | edwardhall_ua5                      | edward.hall_ua5@gmail.com
  ACTIVE    | paulreyes_ua6                       | paul.reyes_ua6@icloud.com
  ACTIVE    | charlesperez_ua7                    | charles.perez_ua7@hotmail.com
  ACTIVE    | jessicaclark_ua8                    | jessica.clark_ua8@icloud.com
  SUSPENDED | jasonrobinson_ua9                   | jason.robinson_ua9@proton.me

-- Fundraisers (30) ----------------------------------
  ACTIVE    | ameliapeterson_fr0                  | amelia.peterson_fr0@hotmail.com
  SUSPENDED | charlottemorris_fr1                 | charlotte.morris_fr1@outlook.com
  ACTIVE    | emmagomez_fr2                       | emma.gomez_fr2@yahoo.com
  ACTIVE    | ashleymitchell_fr3                  | ashley.mitchell_fr3@hotmail.com
  SUSPENDED | christinegreen_fr4                  | christine.green_fr4@yahoo.com
  ACTIVE    | garymorris_fr5                      | gary.morris_fr5@icloud.com
  ACTIVE    | ronaldwilson_fr6                    | ronald.wilson_fr6@hotmail.com
  ACTIVE    | michaelcox_fr7                      | michael.cox_fr7@proton.me
  ACTIVE    | miakim_fr8                          | mia.kim_fr8@hotmail.com
  ACTIVE    | meganthomas_fr9                     | megan.thomas_fr9@yahoo.com
  ACTIVE    | laurahoward_fr10                    | laura.howard_fr10@gmail.com
  ACTIVE    | noahadams_fr11                      | noah.adams_fr11@icloud.com
  ACTIVE    | harperdavis_fr12                    | harper.davis_fr12@proton.me
  ACTIVE    | richardjones_fr13                   | richard.jones_fr13@proton.me
  ACTIVE    | nataliewright_fr14                  | natalie.wright_fr14@icloud.com
  ACTIVE    | jessicarichardson_fr15              | jessica.richardson_fr15@gmail.com
  ACTIVE    | sarahjackson_fr16                   | sarah.jackson_fr16@outlook.com
  ACTIVE    | noahwatson_fr17                     | noah.watson_fr17@proton.me
  ACTIVE    | stephanieramos_fr18                 | stephanie.ramos_fr18@outlook.com
  ACTIVE    | susanward_fr19                      | susan.ward_fr19@yahoo.com
  ACTIVE    | barbaraflores_fr20                  | barbara.flores_fr20@proton.me
  ACTIVE    | georgejohnson_fr21                  | george.johnson_fr21@hotmail.com
  SUSPENDED | richardmorris_fr22                  | richard.morris_fr22@icloud.com
  ACTIVE    | ryansmith_fr23                      | ryan.smith_fr23@yahoo.com
  ACTIVE    | georgewhite_fr24                    | george.white_fr24@yahoo.com
  ACTIVE    | williamphillips_fr25                | william.phillips_fr25@proton.me
  ACTIVE    | stevenmorgan_fr26                   | steven.morgan_fr26@yahoo.com
  ACTIVE    | kevinbailey_fr27                    | kevin.bailey_fr27@outlook.com
  ACTIVE    | katherinemartin_fr28                | katherine.martin_fr28@hotmail.com
  ACTIVE    | evelynmorales_fr29                  | evelyn.morales_fr29@hotmail.com

-- Donees (60) -------------------------------------
  ACTIVE    | masonmartinez_dn0                   | mason.martinez_dn0@icloud.com
  ACTIVE    | lucasward_dn1                       | lucas.ward_dn1@outlook.com
  ACTIVE    | masonparker_dn2                     | mason.parker_dn2@hotmail.com
  ACTIVE    | ashleychavez_dn3                    | ashley.chavez_dn3@proton.me
  ACTIVE    | daviddiaz_dn4                       | david.diaz_dn4@gmail.com
  ACTIVE    | emilybaker_dn5                      | emily.baker_dn5@outlook.com
  SUSPENDED | williamharris_dn6                   | william.harris_dn6@yahoo.com
  ACTIVE    | timothyedwards_dn7                  | timothy.edwards_dn7@proton.me
  ACTIVE    | elizabethmitchell_dn8               | elizabeth.mitchell_dn8@gmail.com
  ACTIVE    | sarahrogers_dn9                     | sarah.rogers_dn9@gmail.com
  ACTIVE    | davidcooper_dn10                    | david.cooper_dn10@gmail.com
  ACTIVE    | georgethompson_dn11                 | george.thompson_dn11@yahoo.com
  ACTIVE    | liamdavis_dn12                      | liam.davis_dn12@gmail.com
  ACTIVE    | ronaldreed_dn13                     | ronald.reed_dn13@icloud.com
  SUSPENDED | avaking_dn14                        | ava.king_dn14@proton.me
  ACTIVE    | noahreed_dn15                       | noah.reed_dn15@hotmail.com
  ACTIVE    | susancruz_dn16                      | susan.cruz_dn16@proton.me
  ACTIVE    | patriciahoward_dn17                 | patricia.howard_dn17@gmail.com
  ACTIVE    | joanmorris_dn18                     | joan.morris_dn18@hotmail.com
  ACTIVE    | ashleywhite_dn19                    | ashley.white_dn19@hotmail.com
  ACTIVE    | joshuaedwards_dn20                  | joshua.edwards_dn20@proton.me
  ACTIVE    | richardyoung_dn21                   | richard.young_dn21@gmail.com
  ACTIVE    | kennethcampbell_dn22                | kenneth.campbell_dn22@proton.me
  ACTIVE    | alicebaker_dn23                     | alice.baker_dn23@icloud.com
  ACTIVE    | georgeclark_dn24                    | george.clark_dn24@yahoo.com
  ACTIVE    | brianwalker_dn25                    | brian.walker_dn25@gmail.com
  ACTIVE    | olivermiller_dn26                   | oliver.miller_dn26@yahoo.com
  ACTIVE    | avawright_dn27                      | ava.wright_dn27@yahoo.com
  ACTIVE    | nataliewalker_dn28                  | natalie.walker_dn28@yahoo.com
  ACTIVE    | oliviaward_dn29                     | olivia.ward_dn29@hotmail.com
  ACTIVE    | liamhoward_dn30                     | liam.howard_dn30@gmail.com
  ACTIVE    | elijahflores_dn31                   | elijah.flores_dn31@outlook.com
  ACTIVE    | paulkim_dn32                        | paul.kim_dn32@yahoo.com
  ACTIVE    | megancox_dn33                       | megan.cox_dn33@yahoo.com
  ACTIVE    | rebeccastewart_dn34                 | rebecca.stewart_dn34@proton.me
  ACTIVE    | lucasward_dn35                      | lucas.ward_dn35@icloud.com
  ACTIVE    | rachelcook_dn36                     | rachel.cook_dn36@icloud.com
  ACTIVE    | amandarichardson_dn37               | amanda.richardson_dn37@proton.me
  ACTIVE    | andrewramirez_dn38                  | andrew.ramirez_dn38@yahoo.com
  ACTIVE    | lucasrivera_dn39                    | lucas.rivera_dn39@proton.me
  ACTIVE    | isabellathomas_dn40                 | isabella.thomas_dn40@outlook.com
  SUSPENDED | avayoung_dn41                       | ava.young_dn41@outlook.com
  ACTIVE    | marysanchez_dn42                    | mary.sanchez_dn42@icloud.com
  ACTIVE    | timothygomez_dn43                   | timothy.gomez_dn43@gmail.com
  ACTIVE    | josephmorris_dn44                   | joseph.morris_dn44@icloud.com
  ACTIVE    | markmorris_dn45                     | mark.morris_dn45@proton.me
  ACTIVE    | elijahwatson_dn46                   | elijah.watson_dn46@icloud.com
  ACTIVE    | donaldmorris_dn47                   | donald.morris_dn47@proton.me
  ACTIVE    | sarahpeterson_dn48                  | sarah.peterson_dn48@icloud.com
  ACTIVE    | ronaldwatson_dn49                   | ronald.watson_dn49@yahoo.com
  ACTIVE    | lucaswright_dn50                    | lucas.wright_dn50@gmail.com
  ACTIVE    | megangomez_dn51                     | megan.gomez_dn51@icloud.com
  ACTIVE    | miasmith_dn52                       | mia.smith_dn52@hotmail.com
  ACTIVE    | marywatson_dn53                     | mary.watson_dn53@hotmail.com
  ACTIVE    | sophiarogers_dn54                   | sophia.rogers_dn54@gmail.com
  ACTIVE    | patriciahill_dn55                   | patricia.hill_dn55@proton.me
  ACTIVE    | dianakim_dn56                       | diana.kim_dn56@proton.me
  SUSPENDED | williammorris_dn57                  | william.morris_dn57@outlook.com
  ACTIVE    | noahlewis_dn58                      | noah.lewis_dn58@hotmail.com
  ACTIVE    | noahmiller_dn59                     | noah.miller_dn59@gmail.com

-- Platform Managers (10) ------------------------------
  ACTIVE    | andrewcox_pm0                       | andrew.cox_pm0@outlook.com
  SUSPENDED | noahramos_pm1                       | noah.ramos_pm1@hotmail.com
  ACTIVE    | davidthomas_pm2                     | david.thomas_pm2@icloud.com
  ACTIVE    | olivercollins_pm3                   | oliver.collins_pm3@gmail.com
  ACTIVE    | davidcook_pm4                       | david.cook_pm4@gmail.com
  ACTIVE    | robertevans_pm5                     | robert.evans_pm5@hotmail.com
  ACTIVE    | dianasanchez_pm6                    | diana.sanchez_pm6@yahoo.com
  ACTIVE    | aidenthomas_pm7                     | aiden.thomas_pm7@proton.me
  ACTIVE    | hannahgomez_pm8                     | hannah.gomez_pm8@proton.me
